trial,confidence_threshold,min_cat_size,n_groups,coverage,f_stat,p_value,runtime_ms,log_min_cat_size
1,0.7079,50,6,0.1012,569.8592,0.000000,3.7,3.9216
2,0.7798,131,6,0.0575,518.2763,0.000000,1.8,4.8751
3,0.1301,366,7,1.0000,1411.9653,0.000000,15.2,5.9015
4,0.6970,182,6,0.1085,554.3472,0.000000,2.8,5.2023
5,0.1589,53,7,0.9999,1414.0470,0.000000,17.1,3.9640
6,0.3652,305,7,0.6334,1164.3962,0.000000,11.2,5.7213
7,0.5973,208,7,0.2011,605.5802,0.000000,4.3,5.3377
8,0.4269,23,7,0.4760,865.7228,0.000000,8.8,3.1408
9,0.5214,13,7,0.2806,738.7643,0.000000,5.8,2.5380
10,0.7535,103,6,0.0768,551.6575,0.000000,2.3,4.6327
11,0.0730,120,7,1.0000,1411.9653,0.000000,15.1,4.7872
12,0.0500,38,7,1.0000,1411.9653,0.000000,15.8,3.6348
13,0.0833,68,7,1.0000,1411.9653,0.000000,15.0,4.2218
14,0.1351,168,7,1.0000,1411.9653,0.000000,15.5,5.1228
15,0.0899,65,7,1.0000,1411.9653,0.000000,15.0,4.1767
16,0.0500,10,7,1.0000,1411.9653,0.000000,14.8,2.3026
17,0.0500,20,7,1.0000,1411.9653,0.000000,14.4,2.9917
18,0.1235,103,7,1.0000,1411.9653,0.000000,15.6,4.6345
19,0.1406,400,7,1.0000,1411.9653,0.000000,14.5,5.9915
20,0.1004,58,7,1.0000,1411.9653,0.000000,14.6,4.0592
21,0.0500,19,7,1.0000,1411.9653,0.000000,14.8,2.9418
22,0.1328,234,7,1.0000,1411.9653,0.000000,15.0,5.4533
23,0.1484,10,7,1.0000,1411.9653,0.000000,14.6,2.3026
24,0.1146,26,7,1.0000,1411.9653,0.000000,14.3,3.2535
25,0.1972,400,7,0.9839,1438.6032,0.000000,15.8,5.9915
26,0.2045,400,7,0.9765,1479.6516,0.000000,15.6,5.9915
27,0.9000,10,6,0.0150,209.1086,0.000000,1.2,2.3026
28,0.2150,400,7,0.9599,1484.9140,0.000000,16.7,5.9915
29,0.9000,400,5,0.0150,268.8277,0.000000,1.3,5.9915
30,0.2190,400,7,0.9517,1526.7251,0.000000,16.5,5.9915
31,0.2215,134,7,0.9490,1523.1315,0.000000,16.3,4.8959
32,0.2225,131,7,0.9478,1527.6112,0.000000,15.9,4.8757
33,0.2416,114,7,0.9168,1509.3737,0.000000,15.7,4.7376
34,0.2609,106,7,0.8733,1529.1766,0.000000,14.5,4.6656
35,0.2769,103,7,0.8336,1479.4525,0.000000,15.2,4.6381
36,0.2362,148,7,0.9253,1515.2240,0.000000,15.4,4.9990
37,0.2373,146,7,0.9233,1502.3525,0.000000,15.0,4.9850
38,0.2257,113,7,0.9434,1548.1153,0.000000,15.3,4.7259
39,0.2265,96,7,0.9426,1557.4001,0.000000,15.3,4.5630
40,0.2562,86,7,0.8881,1568.7093,0.000000,14.1,4.4510
41,0.2929,83,7,0.8011,1480.1243,0.000000,13.1,4.4203
42,0.2166,90,7,0.9559,1499.5385,0.000000,16.0,4.4962
43,0.2837,10,7,0.8183,1481.3705,0.000000,12.6,2.3026
44,0.9000,38,6,0.0150,209.1086,0.000000,1.2,3.6374
45,0.3314,107,7,0.7107,1235.2722,0.000000,11.1,4.6755
46,0.2356,16,7,0.9259,1513.6641,0.000000,14.2,2.7617
47,0.2675,46,7,0.8574,1512.4379,0.000000,13.1,3.8248
48,0.5980,400,7,0.2004,610.1464,0.000000,3.9,5.9915
49,0.2485,68,7,0.8996,1536.3690,0.000000,14.3,4.2266
50,0.2277,272,7,0.9412,1550.4534,0.000000,14.4,5.6061
51,0.2415,25,7,0.9169,1511.2992,0.000000,14.0,3.2055
52,0.2266,274,7,0.9426,1556.6822,0.000000,14.5,5.6138
53,0.2272,276,7,0.9424,1556.4642,0.000000,14.2,5.6189
54,0.0500,400,7,1.0000,1411.9653,0.000000,13.7,5.9915
55,0.2344,285,7,0.9279,1533.8479,0.000000,13.9,5.6533
56,0.2466,71,7,0.9024,1534.2378,0.000000,13.8,4.2584
57,0.3693,10,7,0.6263,1157.2725,0.000000,9.9,2.3026
58,0.6895,10,7,0.1165,461.3751,0.000000,2.7,2.3026
59,0.1955,16,7,0.9845,1440.5448,0.000000,15.0,2.7588
60,0.2822,400,7,0.8221,1490.4818,0.000000,12.7,5.9915
