trial,confidence_threshold,min_cat_size,n_groups,coverage,f_stat,p_value,runtime_ms,log_min_cat_size
1,0.0500,10,7,1.0000,1411.9653,0.000000,14.1,2.3026
2,0.0500,18,7,1.0000,1411.9653,0.000000,14.1,2.9174
3,0.0500,34,7,1.0000,1411.9653,0.000000,14.0,3.5322
4,0.0500,63,7,1.0000,1411.9653,0.000000,14.0,4.1470
5,0.0500,117,7,1.0000,1411.9653,0.000000,13.9,4.7618
6,0.0500,216,7,1.0000,1411.9653,0.000000,14.0,5.3767
7,0.0500,400,7,1.0000,1411.9653,0.000000,13.9,5.9915
8,0.1917,10,7,0.9912,1435.2123,0.000000,15.7,2.3026
9,0.1917,18,7,0.9912,1435.2123,0.000000,15.6,2.9174
10,0.1917,34,7,0.9912,1435.2123,0.000000,15.0,3.5322
11,0.1917,63,7,0.9912,1435.2123,0.000000,15.3,4.1470
12,0.1917,117,7,0.9912,1435.2123,0.000000,15.3,4.7618
13,0.1917,216,7,0.9912,1435.2123,0.000000,15.5,5.3767
14,0.1917,400,7,0.9912,1435.2123,0.000000,15.8,5.9915
15,0.3333,10,7,0.7052,1251.7439,0.000000,11.2,2.3026
16,0.3333,18,7,0.7052,1251.7439,0.000000,11.4,2.9174
17,0.3333,34,7,0.7052,1251.7439,0.000000,11.1,3.5322
18,0.3333,63,7,0.7052,1251.7439,0.000000,11.2,4.1470
19,0.3333,117,7,0.7052,1251.7439,0.000000,11.2,4.7618
20,0.3333,216,7,0.7052,1251.7439,0.000000,11.3,5.3767
21,0.3333,400,7,0.7052,1251.7439,0.000000,11.1,5.9915
22,0.4750,10,7,0.3829,822.7713,0.000000,6.6,2.3026
23,0.4750,18,7,0.3829,822.7713,0.000000,6.5,2.9174
24,0.4750,34,7,0.3829,822.7713,0.000000,6.4,3.5322
25,0.4750,63,7,0.3829,822.7713,0.000000,6.1,4.1470
26,0.4750,117,7,0.3829,822.7713,0.000000,6.3,4.7618
27,0.4750,216,7,0.3829,822.7713,0.000000,6.3,5.3767
28,0.4750,400,7,0.3829,822.7713,0.000000,6.6,5.9915
29,0.6167,10,7,0.1768,645.5661,0.000000,3.5,2.3026
30,0.6167,18,7,0.1768,645.5661,0.000000,3.2,2.9174
31,0.6167,34,7,0.1768,645.5661,0.000000,3.1,3.5322
32,0.6167,63,7,0.1768,645.5661,0.000000,3.1,4.1470
33,0.6167,117,7,0.1768,645.5661,0.000000,3.0,4.7618
34,0.6167,216,6,0.1768,751.9588,0.000000,3.0,5.3767
35,0.6167,400,6,0.1768,751.9588,0.000000,3.0,5.9915
36,0.7583,10,7,0.0721,526.4381,0.000000,1.7,2.3026
37,0.7583,18,7,0.0721,526.4381,0.000000,1.7,2.9174
38,0.7583,34,6,0.0721,627.7717,0.000000,1.7,3.5322
39,0.7583,63,6,0.0721,627.7717,0.000000,1.6,4.1470
40,0.7583,117,6,0.0721,627.7717,0.000000,1.7,4.7618
41,0.7583,216,6,0.0721,627.7717,0.000000,1.6,5.3767
42,0.7583,400,6,0.0721,627.7717,0.000000,1.9,5.9915
43,0.9000,10,6,0.0150,209.1086,0.000000,1.0,2.3026
44,0.9000,18,6,0.0150,209.1086,0.000000,0.9,2.9174
45,0.9000,34,6,0.0150,209.1086,0.000000,0.9,3.5322
46,0.9000,63,6,0.0150,209.1086,0.000000,0.9,4.1470
47,0.9000,117,6,0.0150,209.1086,0.000000,1.0,4.7618
48,0.9000,216,6,0.0150,209.1086,0.000000,1.0,5.3767
49,0.9000,400,5,0.0150,268.8277,0.000000,0.9,5.9915
