trial,confidence_threshold,min_cat_size,n_groups,coverage,f_stat,p_value,runtime_ms,log_min_cat_size
1,0.6045,12,7,0.1912,611.0740,0.000000,3.8,2.4641
2,0.0670,221,7,1.0000,1411.9653,0.000000,13.2,5.3983
3,0.5491,23,7,0.2510,748.3781,0.000000,4.5,3.1315
4,0.6890,26,7,0.1167,459.6409,0.000000,2.3,3.2753
5,0.4070,53,7,0.5452,1024.4372,0.000000,8.2,3.9664
6,0.8620,268,6,0.0271,220.5815,0.000000,1.1,5.5927
7,0.2868,28,7,0.8119,1488.8817,0.000000,12.0,3.3301
8,0.4087,10,7,0.5418,1015.4911,0.000000,8.6,2.3176
9,0.3126,335,7,0.7536,1281.1806,0.000000,11.7,5.8135
10,0.7625,72,6,0.0682,580.1120,0.000000,2.2,4.2766
11,0.4627,327,7,0.4089,823.2428,0.000000,6.7,5.7890
12,0.5542,324,7,0.2466,753.6297,0.000000,4.4,5.7807
13,0.8982,11,6,0.0158,217.1012,0.000000,1.0,2.4271
14,0.1508,166,7,1.0000,1411.9653,0.000000,14.1,5.1106
15,0.1572,35,7,1.0000,1411.7736,0.000000,15.8,3.5636
16,0.3050,76,7,0.7737,1411.9976,0.000000,12.5,4.3353
17,0.0930,53,7,1.0000,1411.9653,0.000000,14.3,3.9662
18,0.5221,16,7,0.2796,737.7865,0.000000,5.1,2.7422
19,0.3402,64,7,0.6884,1263.2116,0.000000,11.0,4.1638
20,0.3084,47,7,0.7645,1317.4244,0.000000,12.4,3.8439
21,0.4024,14,7,0.5530,1028.1947,0.000000,9.4,2.6468
22,0.5498,13,7,0.2503,739.2969,0.000000,4.6,2.5758
23,0.5434,14,7,0.2545,755.4859,0.000000,4.8,2.6083
24,0.5083,231,7,0.3041,807.6907,0.000000,5.4,5.4410
25,0.2955,14,7,0.7941,1462.9439,0.000000,12.5,2.6078
26,0.3224,48,7,0.7319,1241.5513,0.000000,11.2,3.8685
27,0.5703,17,7,0.2270,661.2056,0.000000,4.2,2.8616
28,0.0534,224,7,1.0000,1411.9653,0.000000,13.7,5.4126
29,0.4368,83,7,0.4594,851.4911,0.000000,7.6,4.4186
30,0.7311,167,6,0.0900,526.0579,0.000000,2.2,5.1181
31,0.7826,33,6,0.0567,513.6104,0.000000,1.6,3.4902
32,0.2147,10,7,0.9626,1494.2626,0.000000,15.0,2.3494
33,0.3866,94,7,0.5826,1086.3687,0.000000,9.5,4.5399
34,0.5315,256,7,0.2698,742.3531,0.000000,5.0,5.5444
35,0.7536,62,6,0.0766,553.7613,0.000000,2.1,4.1342
36,0.1543,63,7,1.0000,1411.9653,0.000000,14.1,4.1492
37,0.8316,258,6,0.0335,271.1086,0.000000,1.5,5.5520
38,0.6230,114,7,0.1733,640.1115,0.000000,3.5,4.7332
39,0.7547,126,6,0.0761,560.8886,0.000000,1.9,4.8370
40,0.5806,44,7,0.2186,688.8300,0.000000,3.9,3.7846
41,0.3896,60,7,0.5764,1073.1536,0.000000,9.5,4.0966
42,0.7995,107,6,0.0483,347.7206,0.000000,1.7,4.6691
43,0.7516,64,6,0.0772,545.7491,0.000000,1.9,4.1569
44,0.5060,132,7,0.3081,801.3207,0.000000,5.3,4.8803
45,0.6404,22,7,0.1572,563.9439,0.000000,3.2,3.1122
46,0.8379,23,6,0.0325,273.1893,0.000000,1.3,3.1314
47,0.6094,38,7,0.1868,602.5759,0.000000,3.5,3.6393
48,0.2893,390,7,0.8075,1479.0046,0.000000,12.6,5.9665
49,0.6276,28,7,0.1710,624.6815,0.000000,3.5,3.3479
50,0.6681,161,6,0.1364,607.0169,0.000000,2.8,5.0790
51,0.3584,313,7,0.6458,1206.1438,0.000000,10.3,5.7449
52,0.8741,27,6,0.0229,184.3100,0.000000,1.2,3.2817
53,0.6711,21,7,0.1348,516.9080,0.000000,2.8,3.0474
54,0.2357,173,7,0.9258,1514.0121,0.000000,14.3,5.1528
55,0.8534,62,6,0.0292,236.8756,0.000000,1.3,4.1322
56,0.3169,28,7,0.7445,1267.5562,0.000000,12.1,3.3440
57,0.4357,106,7,0.4612,849.3428,0.000000,7.7,4.6645
58,0.8311,158,6,0.0335,270.3117,0.000000,1.7,5.0601
59,0.7976,164,6,0.0485,344.3278,0.000000,1.7,5.1018
60,0.4158,337,7,0.5286,1029.8011,0.000000,8.6,5.8198
